Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
Number = 1, currentNumOfDigits = 1,  %6d
Number = 2, currentNumOfDigits = 1,  %2d
Number = 3, currentNumOfDigits = 1,  %2d
Number = 4, currentNumOfDigits = 1,  %2d
Number = 5, currentNumOfDigits = 1,  %6d
Number = 6, currentNumOfDigits = 1,  %2d
Number = 7, currentNumOfDigits = 1,  %2d
Number = 8, currentNumOfDigits = 1,  %2d
Number = 9, currentNumOfDigits = 1,  %6d
Number = 10, currentNumOfDigits = 2,  %2d
Number = 11, currentNumOfDigits = 2,  %2d
Number = 12, currentNumOfDigits = 2,  %2d
Number = 13, currentNumOfDigits = 2,  %6d
Number = 14, currentNumOfDigits = 2,  %2d
Number = 15, currentNumOfDigits = 2,  %2d
Number = 16, currentNumOfDigits = 2,  %2d
